beer,producer,style,source,test_type,test_result,testing_source,testing_notes,test_date
Corona Extra,Corona,Lager,,EZ Gluten,Negative at 10ppm,http://gluteninbeer.blogspot.com/,Confirmed negative. One of first beers tested on the blog.,
Coors Light,Coors,Light Lager,,EZ Gluten,Negative at 10ppm,http://gluteninbeer.blogspot.com/,Confirmed negative.,
Modelo Especial,Grupo Modelo,Lager,,EZ Gluten,Negative at 10ppm,http://gluteninbeer.blogspot.com/,Confirmed negative.,
Carlsberg,Carlsberg,Lager,,EZ Gluten,Negative at 10ppm,http://gluteninbeer.blogspot.com/,,
Heineken,Heineken,Lager,,EZ Gluten,Positive at 10ppm,http://gluteninbeer.blogspot.com/,Described as a surprising positive result on the blog.,
