beer,producer,style,source,test_type,test_result,testing_source,testing_notes,test_date
Ambar Especial,,,, GlutenTox Home Kit,Negative at 5ppm,https://www.lowgluten.org/ambar-especial-gluten-test/,GlutenTox threshold 5ppm negative (<5ppm),2016-08-20
Amstel,Heineken,Lager,,Gluten-in-food kit,Negative at 10ppm,https://www.lowgluten.org/,Estimated 0ppm. Not detected. Date approximate — original post date not captured in source.,2015-01-01
Asahi Super Dry,Asahi,Lager,,Gluten-in-food kit,Positive 1ppm,https://www.lowgluten.org/asahi-gluten-test/,Estimated ~1ppm. Classified positive by site.,2015-12-19
Asahi Super Dry,Asahi,Lager,,GlutenTox Home Kit,Negative at 5ppm,https://www.lowgluten.org/asahi-gluten-test/,GlutenTox 5ppm threshold negative.,2015-12-19
Asahi Dry Zero,Asahi,Non-alcoholic Lager,,Gluten-in-food kit,Negative at 10ppm,https://www.lowgluten.org/asahi-dry-zero/,Estimated 0ppm.,2017-02-08
Atlas Premium,,,Lager,GlutenTox Home Kit,Negative at 20ppm,https://www.lowgluten.org/balboa-ice-atlas-gluten-test/,GlutenTox 20ppm threshold negative (5-20ppm range).,2018-05-27
Augustiner Edelstoff,Augustiner,Helles,,GlutenTox Home Kit,Negative at 5ppm,https://www.lowgluten.org/augustiner-gluten-tests/,GlutenTox 5ppm threshold negative.,2015-09-20
Augustiner Helles,Augustiner,Helles,,GlutenTox Home Kit,Negative at 5ppm,https://www.lowgluten.org/augustiner-gluten-tests/,GlutenTox 5ppm threshold negative.,2015-09-20
Balboa Ice,,,Lager,GlutenTox Home Kit,Negative at 20ppm,https://www.lowgluten.org/balboa-ice-atlas-gluten-test/,GlutenTox 20ppm threshold negative.,2018-05-27
Balboa Premium,,,Lager,GlutenTox Home Kit,Negative at 20ppm,https://www.lowgluten.org/,GlutenTox 20ppm threshold negative. Date approximate — original post date not captured in source.,2015-01-01
Bavaria,Bavaria,Lager,,Gluten-in-food kit,Negative at 10ppm,https://www.lowgluten.org/,Estimated 5ppm. Negative by EU 20ppm standard. Date approximate — original post date not captured in source.,2015-01-01
Beck's,Beck's,Pilsner,,Gluten-in-food kit,Negative at 10ppm,https://www.lowgluten.org/becks-gluten-test/,Estimated 0ppm. Not detected.,2014-03-15
Beck's,Beck's,Pilsner,,GlutenTox Home Kit,Negative at 5ppm,https://www.lowgluten.org/becks-gluten-test/,GlutenTox 5ppm threshold negative. Both kits negative.,2014-03-15
Bintang,Bintang,Lager,,GlutenTox Home Kit,Positive at 20ppm,https://www.lowgluten.org/,GlutenTox 20ppm threshold positive (>20ppm). Date approximate — original post date not captured in source.,2015-01-01
Bitburger,Bitburger,Pilsner,,GlutenTox Home Kit,Negative at 5ppm,https://www.lowgluten.org/,GlutenTox 5ppm threshold negative. Date approximate — original post date not captured in source.,2015-01-01
Bohemia Pilser,,,Pilsner,GlutenTox Home Kit,Negative at 20ppm,https://www.lowgluten.org/,GlutenTox 20ppm threshold negative. Date approximate — original post date not captured in source.,2015-01-01
Brand Pilsener,Brand,Pilsner,,GlutenTox Home Kit,Negative at 5ppm,https://www.lowgluten.org/brand-pilsener-gluten-test/,GlutenTox 5ppm threshold negative.,2020-11-29
Brooklyn Lager,Brooklyn Brewery,Lager,,Gluten-in-food kit,Negative at 10ppm,https://www.lowgluten.org/brooklyn-lager-gluten-test/,Estimated 0ppm.,2015-02-23
Budweiser Czech Original,Budweiser,Lager,,GlutenTox Home Kit,Negative at 5ppm,https://www.lowgluten.org/,GlutenTox 5ppm threshold negative. Date approximate — original post date not captured in source.,2015-01-01
Budweiser US,Anheuser-Busch,Lager,,GlutenTox Home Kit,Negative at 5ppm,https://www.lowgluten.org/,GlutenTox 5ppm threshold negative. Date approximate — original post date not captured in source.,2015-01-01
Bud Light,Anheuser-Busch,Light Lager,,GlutenTox Home Kit,Negative at 5ppm,https://www.lowgluten.org/bud-light-gluten-test/,GlutenTox 5ppm threshold negative.,2013-10-28
